state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
06,079,"San Luis Obispo County, California",281712,142477
06,081,"San Mateo County, California",754250,376542
06,083,"Santa Barbara County, California",445213,223753
06,085,"Santa Clara County, California",1916831,978952
06,087,"Santa Cruz County, California",268571,134256
06,089,"Shasta County, California",181852,89879
06,091,"Sierra County, California",2916,1411
06,093,"Siskiyou County, California",44049,22035
06,095,"Solano County, California",450995,225302
06,097,"Sonoma County, California",488436,240478
06,099,"Stanislaus County, California",552063,275687
06,101,"Sutter County, California",99101,49828
06,103,"Tehama County, California",65484,32562
06,105,"Trinity County, California",15889,8243
06,107,"Tulare County, California",473446,238140
06,109,"Tuolumne County, California",54993,28367
06,111,"Ventura County, California",842009,419805
06,113,"Yolo County, California",217141,105912
06,115,"Yuba County, California",81705,41643
08,001,"Adams County, Colorado",520149,264853
08,003,"Alamosa County, Colorado",16460,8160
08,005,"Arapahoe County, Colorado",654453,327156
08,007,"Archuleta County, Colorado",13509,6827
08,009,"Baca County, Colorado",3496,1731
08,011,"Bent County, Colorado",5561,3453
08,013,"Boulder County, Colorado",328658,166315
08,014,"Broomfield County, Colorado",73946,37204
08,015,"Chaffee County, Colorado",19564,10215
08,017,"Cheyenne County, Colorado",1726,859
08,019,"Clear Creek County, Colorado",9403,4773
08,021,"Conejos County, Colorado",7553,3827
08,023,"Costilla County, Colorado",3534,1775
08,025,"Crowley County, Colorado",5782,3922
08,027,"Custer County, Colorado",4885,2371
08,029,"Delta County, Colorado",31173,15642
08,031,"Denver County, Colorado",710800,359302
08,033,"Dolores County, Colorado",2329,1297
08,035,"Douglas County, Colorado",360206,181600
08,037,"Eagle County, Colorado",55650,29968
08,039,"Elbert County, Colorado",26457,13448
08,041,"El Paso County, Colorado",730323,372145
08,043,"Fremont County, Colorado",49107,28582
08,045,"Garfield County, Colorado",61683,31693
08,047,"Gilpin County, Colorado",5856,3103
08,049,"Grand County, Colorado",15724,8211
08,051,"Gunnison County, Colorado",17018,9190
08,053,"Hinsdale County, Colorado",911,425
08,055,"Huerfano County, Colorado",6896,3607
08,057,"Jackson County, Colorado",1440,748
08,059,"Jefferson County, Colorado",580519,292303
08,061,"Kiowa County, Colorado",1347,632
08,063,"Kit Carson County, Colorado",7039,3499
08,065,"Lake County, Colorado",7403,3920
08,067,"La Plata County, Colorado",55983,28379
08,069,"Larimer County, Colorado",359363,180193
08,071,"Las Animas County, Colorado",14422,7537
08,073,"Lincoln County, Colorado",5583,3377
08,075,"Logan County, Colorado",21302,11594
08,077,"Mesa County, Colorado",156131,77615
08,079,"Mineral County, Colorado",794,395
08,081,"Moffat County, Colorado",13232,6702
08,083,"Montezuma County, Colorado",26070,13026
08,085,"Montrose County, Colorado",42823,21392
08,087,"Morgan County, Colorado",29045,15015
08,089,"Otero County, Colorado",18580,9409
08,091,"Ouray County, Colorado",4936,2558
08,093,"Park County, Colorado",17597,9422
08,095,"Phillips County, Colorado",4493,2203
08,097,"Pitkin County, Colorado",17325,9070
08,099,"Prowers County, Colorado",11968,6079
08,101,"Pueblo County, Colorado",168135,83410
08,103,"Rio Blanco County, Colorado",6511,3450
08,105,"Rio Grande County, Colorado",11442,5913
