NAME,county,state,Total_Pop_2009,Total_Pop_2011,Total_Pop_2013,Total_Pop_2015,Total_Pop_2016,Total_Pop_2021,Total_Pop_25_to_29_2009,Total_Pop_25_to_29_2011,Total_Pop_25_to_29_2013,Total_Pop_25_to_29_2015,Total_Pop_25_to_29_2016,Total_Pop_25_to_29_2021,2009-2021 Total_Pop Change,2009-2021 Total_Pop % Change,2009-2021 Change Rank,2009-2021 Change Percentile,2009-2021 % Change Rank,2009-2021 % Change Percentile,2011-2021 Total_Pop Change,2011-2021 Total_Pop % Change,2011-2021 Change Rank,2011-2021 Change Percentile,2011-2021 % Change Rank,2011-2021 % Change Percentile,2013-2021 Total_Pop Change,2013-2021 Total_Pop % Change,2013-2021 Change Rank,2013-2021 Change Percentile,2013-2021 % Change Rank,2013-2021 % Change Percentile,2015-2021 Total_Pop Change,2015-2021 Total_Pop % Change,2015-2021 Change Rank,2015-2021 Change Percentile,2015-2021 % Change Rank,2015-2021 % Change Percentile,2016-2021 Total_Pop Change,2016-2021 Total_Pop % Change,2016-2021 Change Rank,2016-2021 Change Percentile,2016-2021 % Change Rank,2016-2021 % Change Percentile
"Gladwin County, Michigan",051,26,26273.0,25906.0,25664.0,25501.0,25367.0,25344.0,1266.0,1116.0,1097.0,1108.0,1122.0,1124.0,-929.0,-3.535949453811893,2620.0,16.4859693877551,2323.0,25.956632653061224,-562.0,-2.1693816104377373,2252.0,28.243544788014024,1926.0,38.63563914568059,-320.0,-1.2468827930174564,2011.0,35.94646271510516,1775.0,43.46717654557043,-157.0,-0.6156621308968324,1827.0,41.865647882839866,1694.0,46.099968163005414,-23.0,-0.09066897938265761,1617.0,48.55141674625915,1600.0,49.09264565425024
"Glascock County, Georgia",125,13,2736.0,3046.0,3094.0,3087.0,3053.0,2903.0,168.0,196.0,143.0,140.0,139.0,126.0,167.0,6.103801169590639,1611.0,48.660714285714285,993.0,68.36734693877551,-143.0,-4.694681549573209,1722.0,45.13866751673574,2350.0,25.11954096270322,-191.0,-6.173238526179703,1802.0,42.606755895474826,2658.0,15.32823454429573,-184.0,-5.960479429867183,1868.0,40.56033110474371,2722.0,13.371537726838586,-150.0,-4.9132001310186695,1892.0,39.79624323463865,2653.0,15.56829035339064
"Glasscock County, Texas",173,48,1408.0,1179.0,1176.0,1180.0,1253.0,1221.0,34.0,26.0,73.0,50.0,46.0,80.0,-187.0,-13.28125,2036.0,35.108418367346935,3030.0,3.4119897959183674,42.0,3.562340966921118,1483.0,52.7574115396876,1003.0,68.05865476569971,45.0,3.826530612244894,1451.0,53.79222434671765,869.0,72.33906947100064,41.0,3.474576271186436,1477.0,53.00859598853869,803.0,74.46673034065584,-32.0,-2.553870710295292,1632.0,48.07386182744349,2233.0,28.939828080229223
"Glenn County, California",021,06,27891.0,28027.0,28054.0,28029.0,27976.0,28675.0,1768.0,1772.0,1738.0,1720.0,1693.0,1885.0,784.0,2.810942597970678,1257.0,59.94897959183674,1389.0,55.73979591836735,648.0,2.3120562314910664,1115.0,64.48836467963022,1183.0,62.32068855594517,621.0,2.213588080131168,1066.0,66.06118546845124,1109.0,64.69088591459528,646.0,2.3047557886474612,1022.0,67.49442852594714,1026.0,67.3670805475963,699.0,2.4985702030311696,996.0,68.32219038522763,960.0,69.46832219038522
"Gloucester County, New Jersey",015,34,284552.0,287036.0,289098.0,290298.0,291286.0,300821.0,18656.0,16497.0,16667.0,17336.0,17703.0,18648.0,16269.0,5.717408417442149,378.0,87.97831632653062,1034.0,67.05994897959184,13785.0,4.802533480120963,364.0,88.42843481032834,866.0,72.425884603124,11723.0,4.0550263232536965,354.0,88.75079668578712,844.0,73.1357552581262,10523.0,3.6248957967330186,328.0,89.58930276981853,782.0,75.13530722699777,9535.0,3.2734151315202187,315.0,90.00318369945876,796.0,74.68958930276982
"Gloucester County, Virginia",073,51,38229.0,36741.0,36868.0,37001.0,37021.0,38586.0,2063.0,1938.0,1985.0,1961.0,1921.0,2177.0,357.0,0.9338460331162146,1482.0,52.77423469387755,1659.0,47.130102040816325,1845.0,5.021637952151536,854.0,72.80841568377431,846.0,73.06343640420783,1718.0,4.659867635890214,809.0,74.25111536010198,767.0,75.58954748247291,1585.0,4.28366800897273,773.0,75.42184017828717,684.0,78.25533269659344,1565.0,4.227330434077947,749.0,76.18592804839223,617.0,80.38841133397008
"Glynn County, Georgia",127,13,74507.0,78736.0,80280.0,81743.0,82623.0,84373.0,4299.0,4785.0,4887.0,4972.0,5081.0,4997.0,9866.0,13.241708832727127,497.0,84.18367346938776,479.0,84.75765306122449,5637.0,7.159368014631173,556.0,82.30793751992348,649.0,79.34332164488364,4093.0,5.098405580468368,564.0,82.05863607393245,711.0,77.37412364563416,2630.0,3.217400878362664,625.0,80.13371537726839,856.0,72.77936962750717,1750.0,2.1180542948089576,717.0,77.20471187519898,1043.0,66.82585163960522
"Gogebic County, Michigan",053,26,16193.0,16422.0,16179.0,15824.0,15650.0,14858.0,882.0,933.0,903.0,912.0,887.0,812.0,-1335.0,-8.244303093929473,2766.0,11.830357142857142,2837.0,9.566326530612244,-1564.0,-9.523809523809524,2786.0,11.22091169907555,2876.0,8.351928594198279,-1321.0,-8.164905123926081,2743.0,12.619502868068832,2848.0,9.27342256214149,-966.0,-6.104651162790697,2659.0,15.377268385864372,2736.0,12.925819802610633,-792.0,-5.060702875399359,2624.0,16.491563196434257,2675.0,14.867876472461
"Golden Valley County, Montana",037,30,873.0,873.0,709.0,756.0,730.0,820.0,19.0,13.0,21.0,20.0,21.0,23.0,-53.0,-6.071019473081329,1863.0,40.625,2658.0,15.27423469387755,-53.0,-6.071019473081329,1597.0,49.123366273509724,2577.0,17.883328020401656,111.0,15.655853314527501,1376.0,56.18228170809433,127.0,95.98470363288719,64.0,8.465608465608465,1429.0,54.5367717287488,288.0,90.86278255332697,90.0,12.328767123287676,1437.0,54.28207577204712,89.0,97.19834447628143
"Golden Valley County, North Dakota",033,38,1533.0,1576.0,1698.0,1822.0,1895.0,1812.0,62.0,62.0,68.0,73.0,78.0,89.0,279.0,18.19960861056751,1535.0,51.08418367346938,279.0,91.13520408163265,236.0,14.974619289340097,1319.0,57.98533630857507,236.0,92.5087663372649,114.0,6.7137809187279185,1368.0,56.437221159974506,548.0,82.5685149776928,-10.0,-0.5488474204171201,1543.0,50.90735434574975,1666.0,46.99140401146132,-83.0,-4.379947229551451,1737.0,44.730977395733845,2582.0,17.828716969118116
